Action space: 4
Episode 198 | Reward: 1.0 | Epsilon 0.925
Episode 199 | Reward: 3.0 | Epsilon 0.925
Episode 200 | Reward: 4.0 | Epsilon 0.924
Episode 201 | Reward: 2.0 | Epsilon 0.924
Episode 202 | Reward: 2.0 | Epsilon 0.923
Episode 203 | Reward: 0.0 | Epsilon 0.923
Episode 204 | Reward: 0.0 | Epsilon 0.923
Episode 205 | Reward: 0.0 | Epsilon 0.922
Episode 206 | Reward: 0.0 | Epsilon 0.922
Episode 207 | Reward: 1.0 | Epsilon 0.922
Episode 208 | Reward: 4.0 | Epsilon 0.921
Episode 209 | Reward: 1.0 | Epsilon 0.921
Episode 210 | Reward: 1.0 | Epsilon 0.920
Episode 211 | Reward: 2.0 | Epsilon 0.920
Target updated at step 40000
Episode 212 | Reward: 1.0 | Epsilon 0.920
Episode 213 | Reward: 1.0 | Epsilon 0.919
Episode 214 | Reward: 2.0 | Epsilon 0.919
Episode 215 | Reward: 3.0 | Epsilon 0.918
Episode 216 | Reward: 0.0 | Epsilon 0.918
Episode 217 | Reward: 0.0 | Epsilon 0.918
Episode 218 | Reward: 2.0 | Epsilon 0.917
Episode 219 | Reward: 2.0 | Epsilon 0.917
Episode 220 | Reward: 4.0 | Epsilon 0.916
Episode 221 | Reward: 1.0 | Epsilon 0.916
Episode 222 | Reward: 0.0 | Epsilon 0.916
Episode 223 | Reward: 1.0 | Epsilon 0.915
Episode 224 | Reward: 0.0 | Epsilon 0.915
Episode 225 | Reward: 2.0 | Epsilon 0.915
Episode 226 | Reward: 0.0 | Epsilon 0.914
Episode 227 | Reward: 2.0 | Epsilon 0.914
Episode 228 | Reward: 3.0 | Epsilon 0.914
Episode 229 | Reward: 2.0 | Epsilon 0.913
Episode 230 | Reward: 4.0 | Epsilon 0.913
Episode 231 | Reward: 0.0 | Epsilon 0.912
Episode 232 | Reward: 3.0 | Epsilon 0.912
Episode 233 | Reward: 3.0 | Epsilon 0.911
Episode 234 | Reward: 0.0 | Epsilon 0.911
Episode 235 | Reward: 0.0 | Epsilon 0.911
Episode 236 | Reward: 1.0 | Epsilon 0.910
Target updated at step 45000
Episode 237 | Reward: 2.0 | Epsilon 0.910
Episode 238 | Reward: 1.0 | Epsilon 0.910
Episode 239 | Reward: 0.0 | Epsilon 0.909
Episode 240 | Reward: 2.0 | Epsilon 0.909
Episode 241 | Reward: 2.0 | Epsilon 0.908
Episode 242 | Reward: 2.0 | Epsilon 0.908
Episode 243 | Reward: 3.0 | Epsilon 0.908
Episode 244 | Reward: 2.0 | Epsilon 0.907
Episode 245 | Reward: 2.0 | Epsilon 0.907
Episode 246 | Reward: 0.0 | Epsilon 0.906
Episode 247 | Reward: 0.0 | Epsilon 0.906
Episode 248 | Reward: 1.0 | Epsilon 0.906
Episode 249 | Reward: 1.0 | Epsilon 0.905
Episode 250 | Reward: 3.0 | Epsilon 0.905
Episode 251 | Reward: 0.0 | Epsilon 0.905
Episode 252 | Reward: 0.0 | Epsilon 0.904
Episode 253 | Reward: 0.0 | Epsilon 0.904
Episode 254 | Reward: 0.0 | Epsilon 0.904
Episode 255 | Reward: 1.0 | Epsilon 0.903
Episode 256 | Reward: 0.0 | Epsilon 0.903
Episode 257 | Reward: 0.0 | Epsilon 0.903
Episode 258 | Reward: 0.0 | Epsilon 0.903
Episode 259 | Reward: 0.0 | Epsilon 0.902
Episode 260 | Reward: 1.0 | Epsilon 0.902
Episode 261 | Reward: 3.0 | Epsilon 0.901
Episode 262 | Reward: 3.0 | Epsilon 0.901
Episode 263 | Reward: 3.0 | Epsilon 0.900
Target updated at step 50000
Episode 264 | Reward: 3.0 | Epsilon 0.900
Episode 265 | Reward: 1.0 | Epsilon 0.899
Episode 266 | Reward: 3.0 | Epsilon 0.899
Episode 267 | Reward: 0.0 | Epsilon 0.899
Episode 268 | Reward: 1.0 | Epsilon 0.898
Episode 269 | Reward: 3.0 | Epsilon 0.898
Episode 270 | Reward: 0.0 | Epsilon 0.898
Episode 271 | Reward: 1.0 | Epsilon 0.897
Episode 272 | Reward: 3.0 | Epsilon 0.897
Episode 273 | Reward: 2.0 | Epsilon 0.896
Episode 274 | Reward: 0.0 | Epsilon 0.896
Episode 275 | Reward: 0.0 | Epsilon 0.896
Episode 276 | Reward: 3.0 | Epsilon 0.895
Episode 277 | Reward: 1.0 | Epsilon 0.895
Episode 278 | Reward: 3.0 | Epsilon 0.894
Episode 279 | Reward: 1.0 | Epsilon 0.894
Episode 280 | Reward: 0.0 | Epsilon 0.894
Episode 281 | Reward: 4.0 | Epsilon 0.893
Episode 282 | Reward: 1.0 | Epsilon 0.893
Episode 283 | Reward: 1.0 | Epsilon 0.892
Episode 284 | Reward: 3.0 | Epsilon 0.892
Episode 285 | Reward: 4.0 | Epsilon 0.891
Episode 286 | Reward: 1.0 | Epsilon 0.891
Episode 287 | Reward: 3.0 | Epsilon 0.890
Episode 288 | Reward: 0.0 | Epsilon 0.890
Target updated at step 55000
Episode 289 | Reward: 2.0 | Epsilon 0.890
Episode 290 | Reward: 1.0 | Epsilon 0.889
Episode 291 | Reward: 1.0 | Epsilon 0.889
Episode 292 | Reward: 0.0 | Epsilon 0.889
Episode 293 | Reward: 3.0 | Epsilon 0.888
Episode 294 | Reward: 1.0 | Epsilon 0.888
Episode 295 | Reward: 0.0 | Epsilon 0.888
Episode 296 | Reward: 1.0 | Epsilon 0.887
Episode 297 | Reward: 1.0 | Epsilon 0.887
Episode 298 | Reward: 3.0 | Epsilon 0.886
Episode 299 | Reward: 1.0 | Epsilon 0.886
Episode 300 | Reward: 0.0 | Epsilon 0.886
Episode 301 | Reward: 0.0 | Epsilon 0.885
Episode 302 | Reward: 3.0 | Epsilon 0.885
Episode 303 | Reward: 0.0 | Epsilon 0.885
Episode 304 | Reward: 3.0 | Epsilon 0.884
