Action space: 4
Episode 379 | Reward: 2.0 | Epsilon 0.929
Episode 380 | Reward: 1.0 | Epsilon 0.929
Episode 381 | Reward: 1.0 | Epsilon 0.929
Episode 382 | Reward: 5.0 | Epsilon 0.928
Episode 383 | Reward: 1.0 | Epsilon 0.928
Episode 384 | Reward: 3.0 | Epsilon 0.928
Episode 385 | Reward: 0.0 | Epsilon 0.928
Episode 386 | Reward: 0.0 | Epsilon 0.928
Episode 387 | Reward: 0.0 | Epsilon 0.928
Episode 388 | Reward: 2.0 | Epsilon 0.927
Episode 389 | Reward: 0.0 | Epsilon 0.927
Episode 390 | Reward: 0.0 | Epsilon 0.927
Episode 391 | Reward: 0.0 | Epsilon 0.927
Episode 392 | Reward: 1.0 | Epsilon 0.927
Episode 393 | Reward: 1.0 | Epsilon 0.927
Episode 394 | Reward: 3.0 | Epsilon 0.926
Episode 395 | Reward: 0.0 | Epsilon 0.926
Episode 396 | Reward: 2.0 | Epsilon 0.926
Episode 397 | Reward: 3.0 | Epsilon 0.926
Episode 398 | Reward: 0.0 | Epsilon 0.926
Episode 399 | Reward: 1.0 | Epsilon 0.925
Episode 400 | Reward: 1.0 | Epsilon 0.925
Episode 401 | Reward: 0.0 | Epsilon 0.925
Target updated at step 75000
Episode 402 | Reward: 2.0 | Epsilon 0.925
Episode 403 | Reward: 1.0 | Epsilon 0.925
Episode 404 | Reward: 0.0 | Epsilon 0.925
Episode 405 | Reward: 2.0 | Epsilon 0.924
Episode 406 | Reward: 0.0 | Epsilon 0.924
Episode 407 | Reward: 1.0 | Epsilon 0.924
Episode 408 | Reward: 5.0 | Epsilon 0.924
Episode 409 | Reward: 7.0 | Epsilon 0.923
Episode 410 | Reward: 1.0 | Epsilon 0.923
Episode 411 | Reward: 3.0 | Epsilon 0.923
Episode 412 | Reward: 1.0 | Epsilon 0.923
Episode 413 | Reward: 2.0 | Epsilon 0.922
Episode 414 | Reward: 1.0 | Epsilon 0.922
Episode 415 | Reward: 2.0 | Epsilon 0.922
Episode 416 | Reward: 2.0 | Epsilon 0.922
Episode 417 | Reward: 1.0 | Epsilon 0.922
Episode 418 | Reward: 2.0 | Epsilon 0.921
Episode 419 | Reward: 0.0 | Epsilon 0.921
Episode 420 | Reward: 0.0 | Epsilon 0.921
Episode 421 | Reward: 0.0 | Epsilon 0.921
Episode 422 | Reward: 0.0 | Epsilon 0.921
Episode 423 | Reward: 3.0 | Epsilon 0.921
Episode 424 | Reward: 2.0 | Epsilon 0.920
Episode 425 | Reward: 4.0 | Epsilon 0.920
Target updated at step 80000
Episode 426 | Reward: 2.0 | Epsilon 0.920
Episode 427 | Reward: 0.0 | Epsilon 0.920
Episode 428 | Reward: 2.0 | Epsilon 0.920
Episode 429 | Reward: 2.0 | Epsilon 0.919
Episode 430 | Reward: 2.0 | Epsilon 0.919
Episode 431 | Reward: 4.0 | Epsilon 0.919
Episode 432 | Reward: 0.0 | Epsilon 0.919
Episode 433 | Reward: 0.0 | Epsilon 0.919
Episode 434 | Reward: 1.0 | Epsilon 0.918
Episode 435 | Reward: 0.0 | Epsilon 0.918
Episode 436 | Reward: 1.0 | Epsilon 0.918
Episode 437 | Reward: 2.0 | Epsilon 0.918
Episode 438 | Reward: 0.0 | Epsilon 0.918
Episode 439 | Reward: 2.0 | Epsilon 0.917
Episode 440 | Reward: 2.0 | Epsilon 0.917
Episode 441 | Reward: 6.0 | Epsilon 0.917
Episode 442 | Reward: 6.0 | Epsilon 0.917
Episode 443 | Reward: 0.0 | Epsilon 0.916
Episode 444 | Reward: 0.0 | Epsilon 0.916
Episode 445 | Reward: 1.0 | Epsilon 0.916
Episode 446 | Reward: 5.0 | Epsilon 0.916
Episode 447 | Reward: 1.0 | Epsilon 0.916
Episode 448 | Reward: 2.0 | Epsilon 0.915
Episode 449 | Reward: 0.0 | Epsilon 0.915
Episode 450 | Reward: 0.0 | Epsilon 0.915
Target updated at step 85000
Episode 451 | Reward: 0.0 | Epsilon 0.915
Episode 452 | Reward: 2.0 | Epsilon 0.915
Episode 453 | Reward: 0.0 | Epsilon 0.915
Episode 454 | Reward: 2.0 | Epsilon 0.914
Episode 455 | Reward: 2.0 | Epsilon 0.914
Episode 456 | Reward: 2.0 | Epsilon 0.914
Episode 457 | Reward: 3.0 | Epsilon 0.914
Episode 458 | Reward: 0.0 | Epsilon 0.913
Episode 459 | Reward: 3.0 | Epsilon 0.913
Episode 460 | Reward: 3.0 | Epsilon 0.913
Episode 461 | Reward: 1.0 | Epsilon 0.913
Episode 462 | Reward: 0.0 | Epsilon 0.913
Episode 463 | Reward: 0.0 | Epsilon 0.913
Episode 464 | Reward: 0.0 | Epsilon 0.912
Episode 465 | Reward: 1.0 | Epsilon 0.912
Episode 466 | Reward: 0.0 | Epsilon 0.912
Episode 467 | Reward: 0.0 | Epsilon 0.912
Episode 468 | Reward: 5.0 | Epsilon 0.912
Episode 469 | Reward: 1.0 | Epsilon 0.911
Episode 470 | Reward: 0.0 | Epsilon 0.911
Episode 471 | Reward: 0.0 | Epsilon 0.911
Episode 472 | Reward: 3.0 | Epsilon 0.911
Episode 473 | Reward: 2.0 | Epsilon 0.911
Episode 474 | Reward: 1.0 | Epsilon 0.910
